Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,BMW X1 sDrive18d M Sport,"20,000",Diesel,Automatic,50,Ahmedabad
2022,Maruti Celerio ZXI,"20,280",Petrol,Manual,4.60,"Naroda, Ahmedabad"
2011,Hyundai i10 Sportz AT,"47,000",Petrol,Automatic,3,"Navrangpura, Ahmedabad"
2012,Hyundai i20 Sportz AT 1.4,"51,000",Petrol,Automatic,3.25,"Navrangpura, Ahmedabad"
2020,Kia Sonet HTK Plus BSVI,"34,000",Petrol,Manual,8.50,"Abasana, Ahmedabad"
2014,Hyundai i10 Magna,"67,000",Petrol,Manual,3,"Navrangpura, Ahmedabad"
2020,Maruti S-Presso VXI Plus AT 2019-2022,"54,000",Petrol,Automatic,3.85,"Navrangpura, Ahmedabad"
2023,Audi Q3 Premium Plus,"11,519",Petrol,Automatic,39.50,"Bhadaj, Ahmedabad"
2016,Hyundai Creta 1.6 CRDi AT SX Plus,"1,08,000",Diesel,Automatic,7.90,"Abasana, Ahmedabad"
2019,Honda Amaze S CVT Petrol BSIV,"58,000",Petrol,Automatic,5.75,"Makarba, Ahmedabad"
2017,Honda Amaze VX CVT i-VTEC,"40,000",Petrol,Automatic,4.95,"Makarba, Ahmedabad"
2023,Kia Sonet GTX Plus Diesel iMT,"9,557",Diesel,Automatic,10.76,"Gota, Ahmedabad"
2018,Hyundai Creta 1.6 SX,"67,000",Petrol,Manual,9.50,"Ghodasar, Ahmedabad"
2019,Honda Amaze S Petrol BSIV,"25,000",Petrol,Manual,6.25,"Makarba, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"67,352",Petrol,Manual,4.23,"Naroda, Ahmedabad"
2018,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"30,782",Petrol,Manual,4.67,"Naroda, Ahmedabad"
2021,BMW 5 Series 520d Luxury Line,"35,000",Diesel,Automatic,49,"Paldi, Ahmedabad"
2013,Maruti Wagon R Stingray VXI,"19,000",Petrol,Manual,3.50,"Makarba, Ahmedabad"
2021,Hyundai Grand i10 Nios Sportz,"39,000",Petrol,Manual,6.25,"Makarba, Ahmedabad"
2023,Maruti Celerio VXI,"18,661",Petrol,Manual,5,"Naroda, Ahmedabad"
2019,Tata Tiago 1.2 Revotron XTA,"31,000",Petrol,Automatic,4.75,"Naranpura, Ahmedabad"
2019,Kia Seltos HTX Plus Diesel,"56,000",Diesel,Manual,12.75,"Makarba, Ahmedabad"
2019,Hyundai Grand i10 Nios AMT Magna,"96,000",Petrol,Automatic,5.50,"Makarba, Ahmedabad"
2016,Honda Amaze E i-VTEC,"72,000",Petrol,Manual,3.90,"Naranpura, Ahmedabad"
2021,Tata Nexon XMA AMT S BSVI,"51,000",Petrol,Automatic,7.75,"Makarba, Ahmedabad"
2019,Honda Amaze S Diesel BSIV,"88,000",Diesel,Manual,5.50,"Makarba, Ahmedabad"
2015,Maruti Wagon R VXI BS IV,"39,000",Petrol,Manual,3.50,"Makarba, Ahmedabad"
2016,Honda Brio S MT,"52,000",Petrol,Manual,3.50,"Navrangpura, Ahmedabad"
2022,Hyundai Grand i10 Nios Sportz CNG,"46,298",CNG,Manual,6.52,"Naroda, Ahmedabad"
2021,Hyundai Grand i10 Nios AMT Sportz,"68,000",Petrol,Automatic,5.95,"Makarba, Ahmedabad"
2023,Citroen C3 Puretech 82 Feel,"19,000",Petrol,Manual,6.50,"Naranpura, Ahmedabad"
2023,BMW X1 sDrive18d M Sport,"16,000",Diesel,Automatic,46,"Ambli, Ahmedabad"
2010,Hyundai i10 Sportz 1.2,"49,000",Petrol,Manual,2.30,"Naranpura, Ahmedabad"
2015,Hyundai i20 Sportz Option 1.2,"78,000",Petrol,Manual,5.25,"Makarba, Ahmedabad"
2014,Honda Amaze E i-Dtech,"73,000",Diesel,Manual,3.70,"Makarba, Ahmedabad"
2014,Audi A3 35 TDI Attraction,"42,000",Diesel,Automatic,12.90,"Makarba, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"18,000",Petrol,Automatic,11.40,"Makarba, Ahmedabad"
2013,Toyota Etios G,"70,000",Petrol,Manual,3.50,"Ghodasar, Ahmedabad"
2014,Hyundai Xcent 1.2 Kappa S,"61,000",Petrol,Manual,4.50,"Naranpura, Ahmedabad"
2017,Tata Tiago 1.2 Revotron XTA,"73,000",Petrol,Automatic,4.50,"Makarba, Ahmedabad"
2023,Hyundai Grand i10 Nios Sportz,"23,000",Petrol,Manual,6.50,"Makarba, Ahmedabad"
2022,Hyundai Grand i10 Nios Sportz Dual Tone,"18,000",Petrol,Manual,6.75,"Makarba, Ahmedabad"
2017,Honda WR-V i-VTEC VX,"51,000",Petrol,Manual,6.50,"Makarba, Ahmedabad"
2015,Hyundai i20 Asta 1.2,"43,000",Petrol,Manual,5.50,"Makarba, Ahmedabad"
2019,Maruti XL6 Alpha,"76,700",Petrol,Manual,3.25,"Vasna, Ahmedabad"
2018,Maruti Swift AMT ZXI,"71,000",Petrol,Automatic,5.90,"Makarba, Ahmedabad"
2021,Mahindra Thar LX 4WD Hard Top AT BSVI,"22,188",Petrol,Automatic,11.21,"Mumatpura, Ahmedabad"
2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,"55,000",Petrol,Manual,4.75,"Naranpura, Ahmedabad"
2014,Hyundai i20 Asta 1.2,"71,000",Petrol,Manual,3.95,"Makarba, Ahmedabad"
2015,Hyundai Grand i10 Magna,"81,000",Petrol,Manual,3.95,"Makarba, Ahmedabad"
2023,Kia Sonet GTX Plus Diesel iMT,"9,557",Diesel,Automatic,10.76,"Gota, Ahmedabad"
2014,Hyundai i20 Asta Optional with Sunroof 1.2,"74,000",Petrol,Manual,4.35,"Makarba, Ahmedabad"
2016,Maruti Baleno 1.2 Sigma,"88,000",Petrol,Manual,4.50,"Makarba, Ahmedabad"
2013,Hyundai i20 Era Petrol,"14,338",Petrol,Manual,2.70,"Gota, Ahmedabad"
2017,Honda WR-V i-DTEC VX,"62,000",Diesel,Manual,6.90,"Makarba, Ahmedabad"
2017,Honda WR-V i-DTEC VX,"62,000",Diesel,Manual,6.90,"Makarba, Ahmedabad"
2015,Hyundai Grand i10 AT Asta,"70,000",Petrol,Automatic,4.15,"Naranpura, Ahmedabad"
2022,Tata Nexon XZ Plus,"8,244",Petrol,Manual,10.12,"Gota, Ahmedabad"
2016,Honda Jazz 1.2 S i VTEC,"75,000",Petrol,Manual,4.37,"Naranpura, Ahmedabad"
2014,Honda Brio S MT,"85,000",Petrol,Manual,3.15,"Makarba, Ahmedabad"
2018,Maruti Ignis 1.2 AMT Zeta BSIV,"91,224",Petrol,Automatic,4,"Naroda, Ahmedabad"
2011,Hyundai i20 1.2 Magna,"86,000",Petrol,Manual,2.90,"Naranpura, Ahmedabad"
2017,Maruti Baleno 1.3 Delta,"80,000",Diesel,Manual,5.50,"Naranpura Vistar, Ahmedabad"
2023,Mercedes-Benz A-Class Limousine A 200d BSVI,"16,000",Diesel,Automatic,42,"Paldi, Ahmedabad"
2015,Maruti S Cross DDiS 200 Alpha,"72,000",Diesel,Manual,5.50,"Makarba, Ahmedabad"
2014,Honda City i VTEC SV,"66,000",Petrol,Manual,4.75,"Makarba, Ahmedabad"
2016,Honda Amaze VX AT i-Vtech,"58,000",Petrol,Automatic,4.50,"Makarba, Ahmedabad"
2019,Maruti Baleno 1.2 Delta,"99,662",Petrol,Manual,4.75,"Mumatpura, Ahmedabad"
2021,Maruti Ignis Sigma BSVI,"61,864",Petrol,Manual,3.98,"Naroda, Ahmedabad"
2021,Maruti Wagon R VXI 1.2,"33,755",Petrol,Manual,4.71,"Naroda, Ahmedabad"
2014,Maruti Alto K10 VXI,"59,930",Petrol,Manual,2.29,"Gota, Ahmedabad"
2019,Maruti Swift AMT VXI,"85,000",Petrol,Automatic,5.75,"Makarba, Ahmedabad"
2018,Maruti Baleno 1.2 Delta,"69,500",Petrol,Manual,4.11,"Vastral, Ahmedabad"
2016,BMW X1 sDrive 20d xLine,"46,000",Diesel,Automatic,18.75,"Makarba, Ahmedabad"
2014,Renault Duster Petrol RxL,"40,000",Petrol,Manual,3.61,"Naranpura Vistar, Ahmedabad"
2016,Maruti Baleno 1.2 Delta,"92,000",Petrol,Manual,4.40,"Makarba, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"89,800",Petrol,Automatic,9.75,"Ctm Char Rasta, Ahmedabad"
2020,Maruti Alto 800 LXI,"35,000",Petrol,Manual,3.51,"Krishnanagar, Ahmedabad"
2021,Nissan Magnite Turbo XL,"41,637",Petrol,Manual,5.32,"Gota, Ahmedabad"
2021,Honda Jazz V CVT,"31,250",Petrol,Automatic,7.25,"Naranpura, Ahmedabad"
2018,Mercedes-Benz C-Class C 220 CDI Style,"59,000",Diesel,Automatic,24.50,"Makarba, Ahmedabad"
2020,Kia Seltos HTK G,"58,000",Petrol,Manual,10.51,"Ambli, Ahmedabad"
2015,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,"87,000",Diesel,Manual,8.95,"Makarba, Ahmedabad"
2017,Toyota Innova Crysta 2.8 GX AT BSIV,"86,000",Diesel,Automatic,13.95,"Makarba, Ahmedabad"
2015,Chevrolet Spark 1.0 LT,"65,000",Petrol,Manual,1.75,"Makarba, Ahmedabad"
2020,Hyundai Aura S,"34,000",Petrol,Manual,6.40,"Makarba, Ahmedabad"
2021,Mahindra XUV500 W11 Option,"65,838",Diesel,Manual,11.20,"Mumatpura, Ahmedabad"
2022,Maruti Wagon R VXI BSVI,"16,569",Petrol,Manual,4.82,"Naroda, Ahmedabad"
2017,Mahindra KUV 100 mFALCON D75 K8,"66,000",Diesel,Manual,3.95,"Makarba, Ahmedabad"
2021,Renault KWID RXL,"29,378",Petrol,Manual,3.64,"Gota, Ahmedabad"
2018,Honda Amaze S i-VTEC,"62,000",Petrol,Manual,5.75,"Makarba, Ahmedabad"
2021,Hyundai Venue SX Turbo,"13,969",Petrol,Manual,8.45,"Gota, Ahmedabad"
2021,Renault KWID RXT,"13,297",Petrol,Manual,4.04,"Gota, Ahmedabad"
2014,Hyundai i20 Asta 1.2,"92,000",Petrol,Manual,3.85,"Makarba, Ahmedabad"
2019,Hyundai i20 Sportz Plus BSIV,"71,000",Petrol,Manual,6.50,"Makarba, Ahmedabad"
2022,Hyundai Creta SX Opt Diesel AT BSVI,"45,000",Diesel,Automatic,16.75,"Gota, Ahmedabad"
2015,Hyundai Grand i10 Magna,"29,000",Petrol,Manual,4.50,"Makarba, Ahmedabad"
2020,Toyota Innova Crysta 2.4 VX 7 STR,"55,000",Diesel,Manual,20.95,"Makarba, Ahmedabad"
2022,Tata Tigor XZ CNG BSVI,"25,152",CNG,Manual,7.75,"Naranpura, Ahmedabad"
2014,Honda City i VTEC V,"25,000",Petrol,Manual,4.95,"Makarba, Ahmedabad"
2015,Volvo XC60 D4 SUMMUM,"74,000",Diesel,Automatic,9.95,"Makarba, Ahmedabad"
2018,Renault KWID 1.0 AMT RXT,"42,386",Petrol,Automatic,3.29,"Gota, Ahmedabad"
2020,Hyundai Grand i10 Nios Sportz,"52,000",Petrol,Manual,6.15,"Makarba, Ahmedabad"
2015,Honda Amaze S i-Vtech,"59,214",Petrol,Manual,3.67,"Naroda, Ahmedabad"
2019,Toyota Innova Crysta 2.4 GX MT BSIV,"95,000",Diesel,Manual,17.99,"Naranpura, Ahmedabad"
2016,Nissan Micra XV CVT,"66,000",Petrol,Automatic,3.95,"Makarba, Ahmedabad"
2022,Maruti Alto 800 VXI,"11,360",Petrol,Manual,3.94,"Gota, Ahmedabad"
2021,Maruti Alto 800 VXI,"17,598",Petrol,Manual,3.72,"Gota, Ahmedabad"
2023,Hyundai Verna SX,"12,000",Petrol,Manual,13.90,"Makarba, Ahmedabad"
2022,Maruti Alto 800 VXI,"17,020",Petrol,Manual,3.51,"Gota, Ahmedabad"
2020,Mahindra XUV300 W8 BSVI,"89,000",Petrol,Manual,8.75,"Makarba, Ahmedabad"
2020,Renault Triber RXT BSIV,"76,500",Petrol,Manual,4.45,"Vasna, Ahmedabad"
2017,Renault Triber RXZ Dual Tone,"34,977",Petrol,Manual,5.46,"Gota, Ahmedabad"
2012,Hyundai i20 Era Petrol,"50,143",Petrol,Manual,2.38,"Gota, Ahmedabad"
2013,Maruti Alto 800 LXi,"39,290",Petrol,Manual,2.19,"Gota, Ahmedabad"
2021,Maruti Alto 800 LXi,"26,459",Petrol,Manual,3.41,"Gota, Ahmedabad"
2018,Maruti Ignis 1.2 AMT Delta BSIV,"82,000",Petrol,Automatic,4.40,"Makarba, Ahmedabad"
2022,Maruti Wagon R LXI BSVI,"42,108",Petrol,Manual,4.65,"Mumatpura, Ahmedabad"
2015,Volkswagen Polo GT TSI,"74,000",Petrol,Automatic,5.90,"Makarba, Ahmedabad"
2016,Maruti Alto 800 LXi,"41,037",Petrol,Manual,2.67,"Gota, Ahmedabad"
2019,Nissan Kicks Diesel,"81,288",Diesel,Manual,7.07,"Gota, Ahmedabad"
2014,Hyundai Grand i10 Sportz,"72,466",Petrol,Manual,3.61,"Mumatpura, Ahmedabad"
2019,Tata Nexon XZA Plus (O) AMT Diesel,"1,22,002",Diesel,Automatic,6.22,"Gota, Ahmedabad"
2016,Maruti S Cross DDiS 200 Zeta,"48,000",Diesel,Manual,6.25,"Makarba, Ahmedabad"
2019,Maruti Alto 800 LXi,"25,291",Petrol,Manual,3.21,"Gota, Ahmedabad"
