Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Hyundai Grand i10 1.2 Kappa Asta,"32,000",Petrol,Manual,5.25,"Chromepet, Chennai"
2023,Mercedes-Benz GLA 220d 4M BSVI,"5,000",Diesel,Automatic,55,"Thygaraya Nagar, Chennai"
2022,Renault KWID 1.0 RXT AMT BSVI,"13,119",Petrol,Automatic,5.06,"Vadapalani, Chennai"
2022,Tata Punch Adventure BSVI,"32,148",Petrol,Manual,5.10,"Meenambakkam, Chennai"
2018,Honda Amaze VX CVT i-VTEC,"70,000",Petrol,Automatic,5.50,Chennai
2023,Nissan Magnite XV Premium,"17,998",Petrol,Manual,7.50,"Thiruverkadu, Chennai"
2024,Hyundai Venue SX Opt Turbo,"3,200",Petrol,Manual,14.50,"Thygaraya Nagar, Chennai"
2015,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"31,803",Petrol,Manual,4.25,"Meenambakkam, Chennai"
2018,Volkswagen Vento 1.5 TDI Comfortline,"80,000",Diesel,Manual,7.60,Chennai
2021,Nissan Magnite XE BSVI,"9,800",Petrol,Manual,5.60,"Pr. Accountant General S.O, Chennai"
2023,Tata Nexon XMA AMT S,"14,325",Petrol,Automatic,9.49,"Vadapalani, Chennai"
2019,Maruti Alto K10 VXI AMT,"56,278",Petrol,Automatic,3.66,"Vadapalani, Chennai"
2022,Volkswagen Virtus Highline AT BSVI,"20,000",Petrol,Automatic,14.25,Chennai
2023,Mahindra Thar LX 4WD Hard Top AT BSVI,"5,000",Petrol,Automatic,15.75,"Thygaraya Nagar, Chennai"
2019,Hyundai Venue S BSIV,"31,000",Petrol,Manual,7.45,"Kovilambakkam, Chennai"
2020,Kia Sonet GTX Plus Turbo DCT DT,"33,000",Petrol,Automatic,10.25,"Anna Nagar West Extension, Chennai"
2020,Kia Seltos Anniversary Edition IVT,"50,000",Petrol,Automatic,16.90,Chennai
2021,Renault Kiger RXZ Turbo CVT,"25,260",Petrol,Automatic,8.14,"Airport, Chennai"
2016,Maruti Wagon R VXI Optional,"41,499",Petrol,Manual,4.02,"Vadapalani, Chennai"
2017,Honda Jazz 1.2 V AT i VTEC,"37,000",Petrol,Automatic,5.99,"Thygaraya Nagar, Chennai"
