Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
AD,N/A,,,,"39,409 kms   •   Diesel   •   Automatic","Sector 21e, Gurgaon"
2022,Renault Triber RXL BSVI,"32,000",Petrol,Manual,5.25,"Ramesh Nagar, New Delhi"
2024,Jaguar F-Pace 2.0 R-Dynamic S,"6,000",Petrol,Automatic,68,Gurgaon
2024,Audi Q7 Technology WO Matrix,"5,000",Petrol,Automatic,86.90,"Paltra, Gurgaon"
2021,Renault Kiger RXT,"12,000",Petrol,Manual,5.45,"Badli, Gurgaon"
2013,Maruti Ritz VXI AT,"26,755",Petrol,Automatic,3,"Chattarpur, New Delhi"
2023,Nissan Magnite XL,"8,615",Petrol,Manual,6.26,"Sector 28, Gurgaon"
2021,Nissan Magnite XV BSVI,"11,839",Petrol,Manual,6.32,"Raj Nagar Extension S.O, Ghaziabad"
2023,Audi Q8 55 TFSI Quattro BSVI,"12,400",Petrol,Automatic,84,"Karol Bagh, New Delhi"
2024,Hyundai Verna SX,"3,000",Petrol,Manual,13.90,"Vikaspuri, New Delhi"
2024,Audi Q8 Celebration Edition BSVI,"1,600",Petrol,Automatic,98,"Naraina, New Delhi"
2022,Renault Kiger RXZ,"19,486",Petrol,Manual,6.76,"Sector 28, Gurgaon"
2021,Hyundai Creta EX BSVI,"40,000",Petrol,Manual,10.25,"Preet Vihar, New Delhi"
2024,MG Hector Plus Savvy Pro CVT 7 Str,"3,000",Petrol,Automatic,22.50,"Vikaspuri, New Delhi"
2022,Renault Kiger RXZ Turbo CVT,"7,525",Petrol,Automatic,8.95,"Rajouri Garden, New Delhi"
2023,Renault Kiger RXZ,"11,000",Petrol,Manual,8.10,"Preet Vihar, New Delhi"
2022,Kia Seltos HTK G,"21,640",Petrol,Manual,9.75,"Indirapuram, Ghaziabad"
2018,Maruti Ignis 1.2 Delta BSIV,"52,000",Petrol,Manual,3.95,"Amit Nagar, Noida"
2023,Porsche Cayenne Platinum Edition,"10,000",Petrol,Automatic,1.39 Crore,"Ashok Vihar, New Delhi"
2015,Maruti Alto 800 LXI,"21,000",Petrol,Manual,2.25,"Nehru Nagar, Ghaziabad"
2022,Renault Kiger RXZ Turbo CVT,"20,106",Petrol,Automatic,7.03,"Indirapuram, Ghaziabad"
