Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2016,Maruti Swift VDI BSIV,"81,562",Diesel,Manual,5.30,"Nagol, Hyderabad"
2023,Land Rover Range Rover Sport 3.0 Diesel Dynamic HSE,"8,436",Diesel,Automatic,1.65 Crore,"Madhapur, Hyderabad"
2024,BMW X5 xDrive40i xLine,"1,913",Petrol,Automatic,1.16 Crore,"Madhapur, Hyderabad"
2023,Audi Q8 55 TFSI Quattro BSVI,"30,553",Petrol,Automatic,1.05 Crore,"Madhapur, Hyderabad"
2019,Ford Ecosport 1.5 Diesel Titanium BSIV,"1,28,542",Diesel,Manual,7.95,"Nagol, Hyderabad"
2022,Mercedes-Benz AMG GLE 53 Coupe BSVI,"17,791",Petrol,Automatic,1.55 Crore,"Madhapur, Hyderabad"
2011,Maruti Wagon R CNG LXI Opt,"89,000",CNG,Manual,1.65,"Khairatabad, Hyderabad"
2022,Honda Amaze 2nd Gen VX CVT BSVI,"34,001",Petrol,Automatic,7.77,"Begumbazar, Hyderabad"
2021,Maruti S Cross Zeta,"30,000",Petrol,Manual,7.50,Hyderabad
2024,Kia Seltos X-Line Diesel AT,"13,000",Diesel,Automatic,21.95,"Banjara Hills, Hyderabad"
2023,BMW XM xDrive BSVI,"7,800",Petrol,Automatic,2.65 Crore,"Somajiguda, Hyderabad"
2023,BMW 3 Series Gran Limousine 320Ld M Sport BSVI,"12,300",Diesel,Automatic,69,"Somajiguda, Hyderabad"
2022,Mahindra XUV300 W6 AMT Sunroof NT BSVI,"52,000",Petrol,Automatic,8.25,Hyderabad
2023,Kia Seltos GTX Plus,"2,500",Petrol,Manual,17.95,"Banjara Hills, Hyderabad"
2017,Maruti Vitara Brezza VDi Option,"89,228",Diesel,Manual,7,"Nagole, Hyderabad"
2018,Renault KWID 1.0 AMT RXT,"53,600",Petrol,Automatic,3.35,"Vidyanagar, Hyderabad"
2020,Tata Nexon EV XZ Plus,"65,500",Electric,Automatic,9.50,Hyderabad
2024,BMW X5 xDrive40i M Sport,"1,913",Petrol,Automatic,1.16 Crore,"Madhapur, Hyderabad"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"23,725",Petrol,Automatic,8.42,"Begumbazar, Hyderabad"
2022,Mercedes-Benz AMG GLA 35 4MATIC BSVI,"23,000",Petrol,Automatic,46.95,"Banjara Hills, Hyderabad"
2016,BMW Z4 sDrive 35i,"5,000",Petrol,Automatic,65,"Mehdipatnam, Hyderabad"
2022,Mercedes-Benz AMG GLE 53 Coupe,"17,791",Petrol,Automatic,1.55 Crore,"Madhapur, Hyderabad"
2020,Mercedes-Benz GLS 400d 4MATIC,"62,000",Diesel,Automatic,90,"Banjara Hills, Hyderabad"
2019,Hyundai Creta 1.6 SX Option Executive,"56,000",Petrol,Manual,9.95,"Banjara Hills, Hyderabad"
2020,Mercedes-Benz E-Class Exclusive E 220 d BSIV,"8,000",Diesel,Automatic,53.50,"Mehdipatnam, Hyderabad"
2024,BMW 3 Series M340i xDrive,"1,950",Petrol,Automatic,86.20,"Somajiguda, Hyderabad"
2015,Hyundai Grand i10 CRDi Magna,"81,264",Diesel,Manual,4.80,"Gandhi Bhawan, Hyderabad"
2023,Mercedes-Benz GLE 300d 4Matic,"8,000",Diesel,Automatic,92.50,"Banjara Hills, Hyderabad"
2018,Audi Q5 35TDI,"20,000",Diesel,Automatic,45,"Mehdipatnam, Hyderabad"
2022,Kia Seltos GTX Option,"39,890",Petrol,Manual,16.50,"Gandhi Bhawan, Hyderabad"
2024,BMW X7 xDrive40d Design Pure Excellance,"14,500",Diesel,Automatic,1.45 Crore,"Somajiguda, Hyderabad"
2019,Maruti S-Presso VXI Plus 2019-2022,"39,167",Petrol,Manual,3.74,"Rangareddi, Hyderabad"
2020,BMW X1 sDrive 20d M Sport,"40,000",Diesel,Automatic,29,"Mehdipatnam, Hyderabad"
2021,Audi Q5 Premium plus BSVI,"58,000",Petrol,Automatic,39.75,"Banjara Hills, Hyderabad"
2022,Honda Amaze 2nd Gen VX CVT Diesel,"30,803",Diesel,Automatic,8.73,"Begumbazar, Hyderabad"
2019,Kia Seltos HTX Plus AT D,"49,000",Diesel,Automatic,13.95,"Banjara Hills, Hyderabad"
2012,BMW 5 Series 525d,"40,000",Diesel,Automatic,14.50,"Mehdipatnam, Hyderabad"
2021,Maruti Vitara Brezza VXI,"65,000",Petrol,Manual,8.50,"Lb Nagar, Hyderabad"
2022,Kia Sonet HTK Plus Turbo iMT BSVI,"45,674",Petrol,Manual,8.95,"Nehrunagar, Hyderabad"
2022,Kia Sonet 1.5 GTX Plus Diesel DT,"43,475",Diesel,Manual,12,"Nagole, Hyderabad"
2020,Maruti Vitara Brezza ZDi Plus,"73,899",Diesel,Manual,9.80,"Nagol, Hyderabad"
2015,Maruti Swift VXI,"76,000",Petrol,Manual,4.50,"Lb Nagar, Hyderabad"
2023,Mercedes-Benz EQB 350 4Matic,"17,095",Electric,Automatic,69,"Madhapur, Hyderabad"
2014,Honda Amaze VX i-DTEC,"41,077",Diesel,Manual,4.45,"Nehrunagar, Hyderabad"
2018,Audi Q5 35TDI,"20,000",Diesel,Automatic,45,"Mehdipatnam, Hyderabad"
2020,Renault Triber RXT EASY-R AMT BSVI,"55,953",Petrol,Automatic,5.45,"Nehrunagar, Hyderabad"
2016,Maruti Celerio ZXI AT Optional,"60,000",Petrol,Automatic,4,"Peerzadiguda, Hyderabad"
2018,Maruti Baleno 1.3 Delta,"57,000",Diesel,Manual,6.45,"Peerzadiguda, Hyderabad"
2017,Mercedes-Benz CLA 200 CDI Sport,"20,000",Diesel,Automatic,26,"Mehdipatnam, Hyderabad"
2022,Maruti S-Presso VXi Plus,"15,590",Petrol,Manual,5.06,"Miyapur, Hyderabad"
2018,Maruti Vitara Brezza ZDi,"87,000",Diesel,Manual,8.70,"Lb Nagar, Hyderabad"
2017,Maruti Ignis 1.2 Delta BSIV,"68,468",Petrol,Manual,4.04,"Rangareddi, Hyderabad"
2020,Mercedes-Benz E-Class Exclusive E 220 d BSIV,"8,000",Diesel,Automatic,53.50,"Mehdipatnam, Hyderabad"
2018,Maruti Alto K10 VXI,"10,339",Petrol,Manual,3.14,"Miyapur, Hyderabad"
2022,Hyundai Venue E BSVI,"35,657",Petrol,Manual,7.95,"Nehrunagar, Hyderabad"
2020,Kia Seltos HTK Plus AT D,"68,561",Diesel,Automatic,11.80,"Nagole, Hyderabad"
