Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2020,Mercedes-Benz GLC 220d 4MATIC,"33,041",Diesel,Automatic,38,"Vaishya Sabha, Kolkata"
2010,Hyundai i20 1.2 Magna,"49,000",Petrol,Manual,1.30,"Airport Po, Kolkata"
2021,Toyota Urban cruiser Mid,"20,317",Petrol,Manual,6.80,"University, Kolkata"
2021,Renault Kiger RXL,"36,758",Petrol,Manual,4.50,"Alipore, Kolkata"
2017,Honda BR-V i-VTEC VX MT,"27,000",Petrol,Manual,6.65,"Kasba, Kolkata"
2021,Toyota Urban cruiser Mid AT,"36,990",Petrol,Automatic,7.86,"Airport Po, Kolkata"
2022,Kia Carens Prestige Plus BSVI,"10,000",Petrol,Manual,10.70,"Ballygunge, Kolkata"
2023,Land Rover Range Rover Evoque 2.0 R-Dynamic SE,"10,500",Petrol,Automatic,57.50,"Salt Lake City, Kolkata"
2015,Maruti Wagon R LXI BS IV,"77,958",Petrol,Manual,2.92,"Kolkatta Gpo, Kolkata"
2021,Maruti Alto 800 VXI BSVI,"8,462",Petrol,Manual,3.04,"University, Kolkata"
2023,Kia Sonet HTK Plus Turbo iMT BSVI,"23,000",Petrol,Manual,8.75,"Northern Avenue, Kolkata"
2023,BMW X3 2022-2025 xDrive20d M Sport,"16,400",Diesel,Automatic,56.50,"Salt Lake City, Kolkata"
2016,Maruti Vitara Brezza ZDi Plus,"1,56,480",Diesel,Manual,5.63,"Kolkatta Gpo, Kolkata"
2024,Tata Punch Adventure CNG,"7,773",CNG,Manual,7.49,"Airport Po, Kolkata"
2021,Kia Seltos HTX Diesel,"83,003",Diesel,Manual,9.50,"Alipore, Kolkata"
2022,Kia Carens Prestige Plus BSVI,"10,000",Petrol,Manual,10.70,"Ballygunge, Kolkata"
2014,Maruti Swift LXI BSIV,"1,06,807",Petrol,Manual,3.26,"Kolkatta Gpo, Kolkata"
2021,Maruti S Cross Alpha,"10,665",Petrol,Manual,7.75,"Kasba, Kolkata"
2018,Maruti Wagon R VXI Plus,"50,206",Petrol,Manual,3.25,"Salt Lake City, Kolkata"
2012,Hyundai EON Magna,"37,001",Petrol,Manual,1.75,"Garia Bt, Kolkata"
2016,Audi A4 30 TFSI Premium Plus,"60,000",Petrol,Automatic,16,Kolkata
2021,Maruti S Cross Alpha,"10,665",Petrol,Manual,7.75,"Kasba, Kolkata"
2015,Honda City i VTEC SV,"45,000",Petrol,Manual,2.85,"Baguihati Big Bazar, Kolkata"
2012,Hyundai EON Magna,"37,001",Petrol,Manual,1.75,"Garia Bt, Kolkata"
2016,Maruti Vitara Brezza ZDi Plus,"1,56,480",Diesel,Manual,5.63,"Kolkatta Gpo, Kolkata"
2024,Porsche Macan Standard,"6,900",Petrol,Automatic,79.50,"Ballygunge Rs, Kolkata"
2021,Kia Seltos HTX Diesel,"52,000",Diesel,Manual,9.80,"Barisha, Kolkata"
2011,Hyundai i10 Asta,"47,000",Petrol,Manual,1.60,"Airport Po, Kolkata"
2020,Jeep Compass 2.0 Limited Plus,"58,000",Diesel,Manual,12,Kolkata
2022,Kia Sonet HTK Plus Turbo iMT BSVI,"7,000",Petrol,Manual,8.51,"Ballygunge, Kolkata"
2015,Volkswagen Polo Exquisite 1.5 TDI Highline,"60,000",Diesel,Manual,3.25,"Watgunge, Kolkata"
2023,Kia Seltos HTX,"9,487",Petrol,Manual,13,"Vaishya Sabha, Kolkata"
2014,BMW 5 Series 520d Modern Line,"60,000",Diesel,Automatic,20,Kolkata
2020,Kia Seltos HTK Plus G,"14,000",Petrol,Manual,8.99,"Salt Lake City, Kolkata"
2022,Renault Kiger RXZ,"19,097",Petrol,Manual,5.89,"Airport Po, Kolkata"
2018,Hyundai Creta 1.6 CRDi AT SX Plus,"40,000",Diesel,Automatic,8.30,"Rash Behari Avenue, Kolkata"
2020,Ford Ecosport 1.5 Diesel Titanium Plus,"47,000",Diesel,Manual,6.20,"Kasba, Kolkata"
2023,Kia Seltos HTX,"12,750",Petrol,Manual,13.50,"Netaji Nagar, Kolkata"
2023,Kia Sonet HTK Plus Turbo iMT BSVI,"22,000",Petrol,Manual,8.95,"Ballygunge, Kolkata"
2015,Maruti Wagon R VXI BS IV,"49,000",Petrol,Manual,3,"Jadavpur University, Kolkata"
2021,Honda Jazz ZX,"38,355",Petrol,Manual,6.15,"Kolkatta Gpo, Kolkata"
2015,Maruti Baleno 1.2 Sigma,"39,000",Petrol,Manual,3.30,"Baguihati Big Bazar, Kolkata"
2021,MG Hector Sharp CVT,"48,000",Petrol,Automatic,11.90,"Ballygunge, Kolkata"
2012,Maruti Swift VXI,"19,001",Petrol,Manual,2.95,"Garia Bt, Kolkata"
2013,Mercedes-Benz B Class B180 Sports,"65,000",Petrol,Automatic,5.85,"Kasba, Kolkata"
2020,Kia Seltos HTX IVT G,"60,000",Petrol,Automatic,7.98,"Entally, Kolkata"
2022,Volkswagen Virtus Topline AT BSVI,"19,000",Petrol,Automatic,12.99,"Park Street Area, Kolkata"
2022,Honda Amaze 2nd Gen S BSVI,"13,000",Petrol,Manual,5.99,"Ballygunge, Kolkata"
2014,Maruti Swift LXI BSIV,"1,06,807",Petrol,Manual,3.26,"Kolkatta Gpo, Kolkata"
2022,Mercedes-Benz GLC 220d 4MATIC,"45,200",Diesel,Automatic,43,"Ballygunge Rs, Kolkata"
2016,Hyundai Grand i10 Sportz,"16,674",Petrol,Manual,3,"Baguihati Big Bazar, Kolkata"
2021,MG Hector Sharp DCT,"48,000",Petrol,Automatic,11.90,"Ballygunge, Kolkata"
2016,Hyundai i20 Active SX Dual Tone Petrol,"52,000",Petrol,Manual,4.25,"Kolkatta GPO, Kolkata"
2022,Kia Carens Prestige Diesel BSVI,"35,000",Diesel,Manual,10.99,"Salt Lake City, Kolkata"
2023,Mahindra XUV300 W4,"2,900",Petrol,Manual,8,"Khardah, Kolkata"
2021,Kia Seltos HTX Plus Diesel,"25,000",Diesel,Manual,10.99,"Salt Lake City, Kolkata"
2020,Honda City ZX MT,"18,000",Petrol,Manual,9.50,"Kasba, Kolkata"
2017,Maruti Vitara Brezza ZDi,"78,000",Diesel,Manual,4.95,"Ballygunge, Kolkata"
2015,Honda City i VTEC V,"44,000",Petrol,Manual,3.20,"Baguihati Big Bazar, Kolkata"
