Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2017,Honda Brio 1.2 VX AT,"67,000",Petrol,Automatic,4.99,"Borivali West, Mumbai"
2023,Mercedes-Benz GLE 300d BSVI,"6,800",Diesel,Automatic,94.95,"Goregaon (w), Mumbai"
2024,Kia Sonet HTX Diesel AT,"5,900",Diesel,Automatic,14.75,"Goregaon (w), Mumbai"
2021,Mercedes-Benz GLE 300d BSVI,"26,500",Diesel,Automatic,75,"Mulund West, Mumbai"
2015,Mercedes-Benz C-Class C 200 CGI,"71,000",Petrol,Automatic,16.50,"Vileparle(west) S.o, Mumbai"
2023,Kia Carens Luxury Plus Diesel AT,"11,000",Diesel,Automatic,20.45,"Goregaon (w), Mumbai"
2022,Renault Kiger RXT AMT,"10,600",Petrol,Automatic,6.75,"Matunga West, Mumbai"
2023,BMW X5 xDrive40i M Sport,"12,000",Petrol,Automatic,95.95,"Goregaon (w), Mumbai"
2019,Hyundai Creta 1.6 SX Automatic,"43,000",Petrol,Automatic,10.99,"Mulund West, Mumbai"
2022,Hyundai Venue S,"13,136",Petrol,Manual,7.01,"Mulund West, Mumbai"
2021,Mercedes-Benz GLE 300d BSVI,"49,000",Diesel,Automatic,70,"Bazargate, Mumbai"
2023,BMW 3 Series Gran Limousine 330Li M Sport BSVI,"9,830",Petrol,Automatic,50,"Mulund West, Mumbai"
2017,Jeep Compass 1.4 Longitude Plus AT,"44,000",Petrol,Automatic,11.90,"Vikhroli, Mumbai"
2022,Renault Kiger RXZ Turbo CVT,"14,619",Petrol,Automatic,7.67,"Navi, Mumbai"
2021,Renault Kiger RXZ Turbo CVT,"22,581",Petrol,Automatic,7.65,"Borivali West, Mumbai"
2021,Renault Kiger RXZ Turbo CVT,"16,362",Petrol,Automatic,8.05,"Dadar, Mumbai"
2021,Kia Seltos HTX IVT G,"13,000",Petrol,Automatic,15.25,"Vileparle(west) S.o, Mumbai"
2023,BMW X3 2022-2025 xDrive20d Luxury Edition,"8,500",Diesel,Automatic,64.50,"Matunga West, Mumbai"
2021,Nissan Magnite XL,"27,962",Petrol,Manual,5.60,"Ghatkopar West, Mumbai"
2019,Hyundai i20 Sportz Plus BSIV,"25,000",Petrol,Manual,6.75,"Ghatkopar East, Mumbai"
2017,Jeep Compass 1.4 Longitude Plus AT,"44,000",Petrol,Automatic,11.90,"Vikhroli, Mumbai"
2021,Nissan Magnite XL,"19,851",Petrol,Manual,5.71,"Navi, Mumbai"
2024,Mercedes-Benz GLS 450d 4matic,"9,500",Diesel,Automatic,1.37 Crore,"Andheri East, Mumbai"
2017,Renault KWID Climber 1.0 AMT,"45,700",Petrol,Automatic,2.42,"Kandivali East, Mumbai"
2014,Jaguar XF 2.2 Litre Luxury,"1,00,000",Diesel,Automatic,13,Thane
2023,BMW X1 sDrive18d M Sport,"26,000",Diesel,Automatic,52.45,"Goregaon (w), Mumbai"
2021,Tata Nexon EV XZ Plus,"7,000",Electric,Automatic,9.90,"Andheri East, Mumbai"
2019,Tata Tiago 1.2 Revotron XM,"36,765",Petrol,Manual,4.49,"West, Thane"
2017,Mercedes-Benz GLE 250d,"73,750",Diesel,Automatic,36,"Mulund West, Mumbai"
2024,Jaguar F-Pace 2.0 R-Dynamic S Diesel BSVI,"8,300",Diesel,Automatic,71,"West, Thane"
2021,Nissan Magnite XL BSVI,"22,351",Petrol,Manual,5.34,"Goregaon East, Mumbai"
2024,Mercedes-Benz GLS 400d 4MATIC,"9,500",Diesel,Automatic,1.37 Crore,"Khar (w), Mumbai"
2012,Hyundai Verna 1.4 CRDi,"1,20,000",Diesel,Manual,2.95,Mumbai
2020,Renault Triber RXZ BSIV,"13,553",Petrol,Manual,5.90,"Malad West, Mumbai"
2023,MG Astor Savvy CVT Red BSVI,"9,690",Petrol,Automatic,14,"Borivali West, Mumbai"
2021,Jaguar F-Pace 2.0 R-Dynamic S Diesel,"35,000",Diesel,Automatic,64,"Khar Delivery, Mumbai"
2023,Tata Tigor XZ CNG,"10,000",CNG,Manual,7.30,Mumbai
2023,MG Astor Savvy Turbo AT BSVI,"32,000",Petrol,Automatic,15.11,"Borivali West, Mumbai"
2022,Renault Kiger RXT,"18,000",Petrol,Manual,6.75,"Matunga West, Mumbai"
2013,Honda Amaze S i-Vtech,"33,000",Petrol,Manual,3.45,"Andheri East, Mumbai"
2016,Honda City i VTEC VX Option,"78,000",Petrol,Manual,5.65,"Andheri West, Mumbai"
2022,Maruti Celerio VXI CNG,"17,931",CNG,Manual,5.76,"Navi, Mumbai"
2019,Maruti Baleno Zeta CVT,"24,308",Petrol,Automatic,6.90,"Borivali West, Mumbai"
2023,Honda Amaze 2nd Gen VX CVT BSVI,"22,000",Petrol,Automatic,8.75,"Goregaon (w), Mumbai"
2023,Tata Tigor XZ CNG,"10,000",CNG,Manual,7.30,Mumbai
2023,Renault Kiger RXZ,"20,043",Petrol,Manual,7.05,"Navi, Mumbai"
