Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2024,Force Gurkha 2.6 Diesel,"2,000",Diesel,Manual,18.50,"Indiranagar, Bangalore"
2020,Kia Sonet HTX Turbo iMT BSVI,"23,589",Petrol,Manual,8.38,"Hoodi, Bangalore"
2023,Mercedes-Benz GLS 400d 4MATIC BSVI,"15,000",Diesel,Automatic,1.29 Crore,"Nagavara, Bangalore"
2022,Kia Seltos HTK Diesel,"19,116",Diesel,Manual,11.44,"Jakkur, Bangalore"
2021,Mercedes-Benz A-Class Limousine A 200 BSVI,"6,000",Petrol,Automatic,48.95,"Indiranagar, Bangalore"
2014,Ford Ecosport 1.5 Ti VCT AT Titanium,"22,444",Petrol,Automatic,5.25,"Magadi Road, Bangalore"
2014,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"33,532",Petrol,Manual,4,"Whitefield, Bangalore"
2021,Hyundai Venue SX Turbo,"14,872",Petrol,Manual,8.55,"Jakkur, Bangalore"
2011,Chevrolet Beat LT,"70,000",Petrol,Manual,1.55,Bangalore
2023,Mercedes-Benz GLS 400d 4MATIC,"21,000",Diesel,Automatic,1.27 Crore,"R T Nagar, Bangalore"
2022,Mahindra Bolero Neo N8 BSVI,"14,000",Diesel,Manual,10.75,"Bazaar, Bangalore"
2022,MG Hector Sharp CVT,"6,000",Petrol,Automatic,17.75,"Bazaar, Bangalore"
2016,BMW X3 xDrive 20d xLine,"92,000",Diesel,Automatic,24.45,"Indiranagar, Bangalore"
2022,MG Astor Savvy CVT BSVI,"40,734",Petrol,Automatic,14.62,"Bellandur, Bangalore"
2018,Skoda Octavia 2.0 TDI AT L K,"77,000",Diesel,Automatic,17,"Pulkeshi Nagar, Bangalore"
2022,Hyundai Venue SX BSVI,"27,000",Petrol,Manual,9.75,"City, Bangalore"
2023,Tata Harrier XTA Plus AT,"6,050",Diesel,Automatic,20.98,"Indiranagar, Bangalore"
2020,Hyundai Creta EX BSVI,"31,522",Petrol,Manual,11.62,"Bellandur, Bangalore"
2021,Kia Seltos HTK Plus G,"31,964",Petrol,Manual,11.22,"Bellandur, Bangalore"
2019,Hyundai Creta 1.6 SX Automatic,"47,966",Petrol,Automatic,10.35,"Hoodi, Bangalore"
2023,Kia Sonet GTX Plus Turbo DCT BSVI,"15,000",Petrol,Automatic,13.90,"Indiranagar, Bangalore"
2021,Toyota Glanza G,"14,833",Petrol,Manual,7.27,"Mahadevapura, Bangalore"
2021,Kia Sonet HTX Turbo iMT,"48,396",Petrol,Automatic,8.48,"Mahadevapura, Bangalore"
2023,Maruti FRONX Delta Plus,"10,470",Petrol,Manual,8.49,"Yelahanka, Bangalore"
2021,Toyota Camry Hybrid 2.5,"21,400",Petrol,Automatic,37.99,"BTM Layout, Bangalore"
2018,Skoda Rapid 1.5 TDI Ambition BSIV,"70,000",Diesel,Manual,7.45,"Bazaar, Bangalore"
2016,Renault Duster Petrol RxL,"27,308",Petrol,Manual,5.43,"Hoodi, Bangalore"
2021,Kia Sonet HTK Plus Turbo DCT,"41,301",Petrol,Automatic,9.12,"Bellandur, Bangalore"
2014,Mercedes-Benz B Class B180 CDI,"52,531",Diesel,Automatic,10.75,"BTM Layout, Bangalore"
2021,Hyundai Grand i10 Nios Era,"14,091",Petrol,Manual,5.62,"Bellandur, Bangalore"
2015,Honda City i VTEC V,"44,862",Petrol,Manual,6.50,"Bellandur, Bangalore"
2022,Kia Seltos HTX G,"30,890",Petrol,Manual,13.79,"Yeshwanthpur Bazar, Bangalore"
2021,Volkswagen Tiguan 2.0 TSI Elegance BSVI,"33,540",Petrol,Automatic,29.95,"BTM Layout, Bangalore"
2015,Honda City i VTEC E,"38,700",Petrol,Manual,6.25,"Bazaar, Bangalore"
2021,Maruti Vitara Brezza VXI,"42,000",Petrol,Manual,8.25,"Seshadripuram, Bangalore"
2022,BMW X5 xDrive 40i M Sport,"49,000",Petrol,Automatic,84,"R T Nagar, Bangalore"
2016,Audi A6 35 TDI,"34,548",Diesel,Automatic,24.95,"BTM Layout, Bangalore"
2019,Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,"12,505",Petrol,Automatic,10.14,"Bellandur, Bangalore"
2015,Maruti Swift LXI Option,"58,000",Petrol,Manual,5.40,"City, Bangalore"
2023,Kia Carens Luxury Plus Turbo DCT 2022-2023,"15,168",Petrol,Automatic,18.45,"Bellandur, Bangalore"
2020,Mahindra Bolero B6 Opt BSVI,"1,25,000",Diesel,Manual,7.99,"Bazaar, Bangalore"
2023,Kia Carens Luxury Plus Turbo DCT 2022-2023,"15,168",Petrol,Automatic,18.45,"Bellandur, Bangalore"
2020,Renault KWID 1.0 RXT Opt,"45,194",Petrol,Manual,3.88,"Richmond Town, Bangalore"
2015,Nissan Micra XV CVT,"32,000",Petrol,Automatic,4.75,"Bommanahalli, Bangalore"
2017,Volkswagen Polo GT TSI,"35,000",Petrol,Automatic,8.65,"Hsr Layout, Bangalore"
2022,Mercedes-Benz GLC 200,"38,794",Petrol,Automatic,54.95,"Nagavara, Bangalore"
2022,Skoda Kushaq 1.0 TSI Style 4 Airbags AT,"18,534",Petrol,Automatic,15.50,"Mahadevapura, Bangalore"
2019,MG Hector Sharp DCT,"39,874",Petrol,Automatic,14.35,"Nagavara, Bangalore"
2012,Hyundai i20 1.4 CRDi Sportz,"80,880",Diesel,Manual,4.25,"Electronics City, Bangalore"
2021,Kia Seltos GTX Plus Diesel AT,"40,152",Diesel,Automatic,14.95,"Marathahalli Colony, Bangalore"
2023,MG Hector Sharp Pro CVT,"15,010",Petrol,Automatic,20.40,"Bellandur, Bangalore"
2016,Maruti Baleno 1.2 Delta,"44,000",Petrol,Manual,5.95,"Bommanahalli, Bangalore"
2014,Mahindra XUV500 W8 AWD,"37,500",Diesel,Manual,8.25,Bangalore
2010,Skoda Laura 1.8 TSI Ambiente,"1,04,000",Petrol,Manual,4.75,"City, Bangalore"
2021,Jeep Compass 1.4 Longitude Plus AT,"38,732",Petrol,Automatic,14.99,"Bellandur, Bangalore"
2019,Renault KWID RXL BSIV,"89,000",Petrol,Manual,4,"City, Bangalore"
2021,Toyota Camry Hybrid 2.5,"21,400",Petrol,Automatic,37.99,"BTM Layout, Bangalore"
2023,Maruti FRONX Alpha Turbo AT,"10,810",Petrol,Automatic,12.61,"Samethanahalli, Bangalore"
2022,Volkswagen Taigun 1.0 TSI Topline AT BSVI,"17,000",Petrol,Automatic,19,"Ramamurthy Nagar, Bangalore"
2022,Jeep Compass Model S DCT BSVI,"29,496",Petrol,Automatic,22.44,"Bellandur, Bangalore"
2014,Mercedes-Benz B Class B180 CDI,"52,531",Diesel,Automatic,10.75,"BTM Layout, Bangalore"
2022,Kia Seltos HTX Diesel,"40,000",Diesel,Manual,17,"Nandagudi, Bangalore"
2020,Ford Freestyle Titanium Plus,"25,483",Petrol,Manual,5.87,"Jakkur, Bangalore"
2022,Nissan Magnite XL BSVI,"15,185",Petrol,Manual,6.75,"Bellandur, Bangalore"
