Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,144.0,20000,1.0,0.0,5000000.0,0.0
2022,1383.0,20280,4.0,1.0,459999.0,0.0
2011,798.0,47000,4.0,0.0,300000.0,0.0
2012,875.0,51000,4.0,0.0,325000.0,0.0
2020,1020.0,34000,4.0,1.0,850000.0,0.0
2014,788.0,67000,4.0,1.0,300000.0,0.0
2020,1547.0,54000,4.0,0.0,385000.0,0.0
2023,53.0,11519,4.0,0.0,3950000.0,0.0
2016,513.0,108000,1.0,0.0,790000.0,0.0
2019,335.0,58000,4.0,0.0,575000.0,0.0
2017,359.0,40000,4.0,0.0,495000.0,0.0
2023,1008.0,9557,1.0,0.0,1076000.0,0.0
2018,521.0,67000,4.0,1.0,950000.0,0.0
2019,341.0,25000,4.0,1.0,625000.0,0.0
2019,609.0,67352,4.0,1.0,423000.0,0.0
2018,609.0,30782,4.0,1.0,467000.0,0.0
2021,114.0,35000,1.0,0.0,4900000.0,0.0
2013,1684.0,19000,4.0,1.0,350000.0,0.0
2021,631.0,39000,4.0,1.0,625000.0,0.0
2023,1365.0,18661,4.0,1.0,500000.0,0.0
2019,2286.0,31000,4.0,0.0,475000.0,0.0
2019,998.0,56000,1.0,1.0,1275000.0,0.0
2019,625.0,96000,4.0,0.0,550000.0,0.0
2016,331.0,72000,4.0,1.0,390000.0,0.0
2021,2220.0,51000,4.0,0.0,775000.0,0.0
2019,338.0,88000,1.0,1.0,550000.0,0.0
2015,1688.0,39000,4.0,1.0,350000.0,0.0
2016,380.0,52000,4.0,1.0,350000.0,0.0
2022,632.0,46298,0.0,1.0,652000.0,0.0
2021,626.0,68000,4.0,0.0,595000.0,0.0
2023,208.0,19000,4.0,1.0,650000.0,0.0
2023,144.0,16000,1.0,0.0,4600000.0,0.0
2010,796.0,49000,4.0,1.0,229999.0,0.0
2015,881.0,78000,4.0,1.0,525000.0,0.0
2014,330.0,73000,1.0,1.0,370000.0,0.0
2014,1.0,42000,1.0,0.0,1290000.0,0.0
2019,522.0,18000,4.0,0.0,1140000.0,0.0
2013,2377.0,70000,4.0,1.0,350000.0,0.0
2014,769.0,61000,4.0,1.0,450000.0,0.0
2017,2286.0,73000,4.0,0.0,450000.0,0.0
2023,631.0,23000,4.0,1.0,650000.0,0.0
2022,633.0,18000,4.0,1.0,675000.0,0.0
2017,488.0,51000,4.0,1.0,650000.0,0.0
2015,830.0,43000,4.0,1.0,550000.0,0.0
2019,1706.0,76700,4.0,1.0,325000.0,0.0
2018,1565.0,71000,4.0,0.0,590000.0,0.0
2021,1212.0,22188,4.0,0.0,1121000.0,0.0
2018,608.0,55000,4.0,1.0,475000.0,0.0
2014,830.0,71000,4.0,1.0,395000.0,0.0
2015,620.0,81000,4.0,1.0,395000.0,0.0
2014,846.0,74000,4.0,1.0,434999.0,0.0
2016,1334.0,88000,4.0,1.0,450000.0,0.0
2013,852.0,14338,4.0,1.0,270000.0,0.0
2017,486.0,62000,1.0,1.0,690000.0,0.0
2015,613.0,70000,4.0,0.0,415000.0,0.0
2022,2224.0,8244,4.0,1.0,1011999.0,0.0
2016,453.0,75000,4.0,1.0,437000.0,0.0
2014,380.0,85000,4.0,1.0,315000.0,0.0
2018,1492.0,91224,4.0,0.0,400000.0,0.0
2011,805.0,86000,4.0,1.0,290000.0,0.0
2017,1337.0,80000,1.0,1.0,550000.0,0.0
